ExtendedID,SubjectTag_S1,SubjectTag_S2,SubjectID_S1,SubjectID_S2,RelationshipPath,EverSharedHouse,R,RFull,MultipleBirthIfSameSex,IsMz,LastSurvey_S1,LastSurvey_S2,RImplicitPass1,RImplicit,RExplicit,RExplicitPass1,RPass1,RExplicitOlderSibVersion,RExplicitYoungerSibVersion,RImplicitSubject,RImplicitMother
27,2700,2800,27,28,1,TRUE,0.5,0.5,0,0,2014,2010,NA,0.5,NA,NA,0.5,NA,NA,NA,NA
27,2701,2702,2701,2702,2,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
27,2701,2800,2701,28,5,FALSE,0.25,0.25,0,0,2014,2010,NA,0.25,NA,NA,0.25,NA,NA,NA,NA
27,2702,2800,2702,28,5,FALSE,0.25,0.25,0,0,2014,2010,NA,0.25,NA,NA,0.25,NA,NA,NA,NA
29,2900,3000,29,30,1,TRUE,0.5,0.5,0,0,2014,2014,NA,0.5,NA,NA,0.5,NA,NA,NA,NA
29,2900,3001,29,3001,5,FALSE,0.25,0.25,0,0,2014,2012,NA,0.25,NA,NA,0.25,NA,NA,NA,NA
29,2900,3002,29,3002,5,FALSE,0.25,0.25,0,0,2014,2014,NA,0.25,NA,NA,0.25,NA,NA,NA,NA
29,2900,3003,29,3003,5,FALSE,0.25,0.25,0,0,2014,2014,NA,0.25,NA,NA,0.25,NA,NA,NA,NA
29,3000,3001,30,3001,4,TRUE,0.5,0.5,0,0,2014,2012,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
29,3000,3002,30,3002,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
29,3000,3003,30,3003,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
29,3001,3002,3001,3002,2,TRUE,0.5,0.5,0,0,2012,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
29,3001,3003,3001,3003,2,TRUE,0.5,0.5,0,0,2012,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
29,3002,3003,3002,3003,2,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
32,3200,3300,32,33,1,TRUE,0.5,0.5,0,0,2010,2014,NA,0.5,NA,NA,0.5,NA,NA,NA,NA
34,3400,3500,34,35,1,TRUE,0.5,0.5,0,0,2014,1998,NA,NA,NA,NA,0.5,NA,NA,NA,NA
34,3400,3501,34,3501,5,FALSE,0.25,0.25,0,0,2014,1998,NA,NA,NA,NA,0.25,NA,NA,NA,NA
34,3400,3502,34,3502,5,FALSE,0.25,0.25,0,0,2014,1998,NA,NA,NA,NA,0.25,NA,NA,NA,NA
34,3500,3501,35,3501,4,TRUE,0.5,0.5,0,0,1998,1998,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
34,3500,3502,35,3502,4,TRUE,0.5,0.5,0,0,1998,1998,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
34,3501,3502,3501,3502,2,TRUE,0.5,0.5,0,0,1998,1998,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
37,3700,3701,37,3701,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
37,3700,3800,37,38,1,TRUE,0.5,0.5,0,0,2014,2014,NA,0.5,NA,NA,0.5,NA,NA,NA,NA
37,3701,3800,3701,38,5,FALSE,0.25,0.25,0,0,2014,2014,NA,0.25,NA,NA,0.25,NA,NA,NA,NA
40,4000,4100,40,41,1,TRUE,0.5,0.5,0,0,2014,2014,NA,NA,NA,NA,0.5,NA,NA,NA,NA
43,4300,4301,43,4301,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
43,4300,4302,43,4302,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
43,4300,4303,43,4303,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
43,4300,4304,43,4304,4,TRUE,0.5,0.5,0,0,2014,2012,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
43,4301,4302,4301,4302,2,TRUE,0.25,0.25,0,0,2014,2014,0.25,0.25,NA,NA,0.25,NA,NA,0.25,0.25
43,4301,4303,4301,4303,2,TRUE,0.25,0.25,0,0,2014,2014,NA,0.25,NA,NA,0.25,NA,NA,NA,0.25
43,4301,4304,4301,4304,2,TRUE,0.25,0.25,0,0,2014,2012,NA,0.25,NA,NA,0.25,NA,NA,NA,0.25
43,4302,4303,4302,4303,2,TRUE,0.25,0.25,0,0,2014,2014,0.25,0.25,NA,NA,0.25,NA,NA,0.25,0.25
43,4302,4304,4302,4304,2,TRUE,0.25,0.25,0,0,2014,2012,0.25,0.25,NA,NA,0.25,NA,NA,0.25,0.25
43,4303,4304,4303,4304,2,TRUE,0.5,0.5,0,0,2014,2012,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
44,4400,4401,44,4401,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
44,4400,4402,44,4402,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
44,4401,4402,4401,4402,2,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
46,4600,4601,46,4601,4,TRUE,0.5,0.5,0,0,2008,2006,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
46,4600,4602,46,4602,4,TRUE,0.5,0.5,0,0,2008,2006,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
46,4601,4602,4601,4602,2,TRUE,0.5,0.5,0,0,2006,2006,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
49,4900,4901,49,4901,4,TRUE,0.5,0.5,0,0,2014,2012,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
49,4900,4902,49,4902,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
49,4901,4902,4901,4902,2,TRUE,0.5,0.5,0,0,2012,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
50,5000,5001,50,5001,4,TRUE,0.5,0.5,0,0,2014,2010,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
50,5000,5002,50,5002,4,TRUE,0.5,0.5,0,0,2014,2010,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
50,5000,5003,50,5003,4,TRUE,0.5,0.5,0,0,2014,NA,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
50,5000,5004,50,5004,4,TRUE,0.5,0.5,0,0,2014,NA,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
50,5000,5005,50,5005,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
50,5000,5100,50,51,1,TRUE,NA,NA,0,0,2014,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,5001,5002,5001,5002,2,TRUE,0.25,0.25,0,0,2010,2010,0.25,0.25,NA,NA,0.25,NA,NA,0.25,0.25
50,5001,5003,5001,5003,2,TRUE,0.25,0.25,0,0,2010,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA
50,5001,5004,5001,5004,2,TRUE,0.25,0.25,0,0,2010,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA
50,5001,5005,5001,5005,2,TRUE,0.25,0.25,0,0,2010,2014,0.25,0.25,NA,NA,0.25,NA,NA,0.25,0.25
50,5001,5100,5001,51,5,FALSE,NA,NA,0,0,2010,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,5002,5003,5002,5003,2,TRUE,0.5,0.5,0,0,2010,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA
50,5002,5004,5002,5004,2,TRUE,0.5,0.5,0,0,2010,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA
50,5002,5005,5002,5005,2,TRUE,0.5,0.5,0,0,2010,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
50,5002,5100,5002,51,5,FALSE,NA,NA,0,0,2010,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,5003,5004,5003,5004,2,TRUE,0.5,0.5,2,0,NA,NA,0.5,0.5,NA,NA,0.5,NA,NA,NA,0.5
50,5003,5005,5003,5005,2,TRUE,0.5,0.5,0,0,NA,2014,NA,NA,NA,NA,0.5,NA,NA,NA,NA
50,5003,5100,5003,51,5,FALSE,NA,NA,0,0,NA,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,5004,5005,5004,5005,2,TRUE,0.5,0.5,0,0,NA,2014,NA,NA,NA,NA,0.5,NA,NA,NA,NA
50,5004,5100,5004,51,5,FALSE,NA,NA,0,0,NA,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,5005,5100,5005,51,5,FALSE,NA,NA,0,0,2014,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,5500,5600,55,56,1,TRUE,NA,NA,0,0,1979,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,5700,5701,57,5701,4,TRUE,0.5,0.5,0,0,2014,2012,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
57,5700,5702,57,5702,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
57,5700,5703,57,5703,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
57,5701,5702,5701,5702,2,TRUE,0.25,0.25,0,0,2012,2014,NA,NA,NA,NA,0.25,NA,NA,NA,NA
57,5701,5703,5701,5703,2,TRUE,0.25,0.25,0,0,2012,2014,NA,NA,NA,NA,0.25,NA,NA,NA,NA
57,5702,5703,5702,5703,2,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
58,5800,5801,58,5801,4,TRUE,0.5,0.5,0,0,2014,2010,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
58,5800,5802,58,5802,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
58,5800,5803,58,5803,4,TRUE,0.5,0.5,0,0,2014,2010,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
58,5800,5900,58,59,1,TRUE,0.5,0.5,0,0,2014,2014,NA,0.5,NA,NA,NA,NA,NA,NA,NA
58,5800,6000,58,60,1,TRUE,0.5,0.5,0,0,2014,2012,NA,0.25,NA,NA,0.5,NA,NA,NA,NA
58,5801,5802,5801,5802,2,TRUE,0.5,0.5,0,0,2010,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
58,5801,5803,5801,5803,2,TRUE,0.5,0.5,0,0,2010,2010,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
58,5801,5900,5801,59,5,FALSE,0.25,0.25,0,0,2010,2014,NA,0.25,NA,NA,NA,NA,NA,NA,NA
58,5801,6000,5801,60,5,FALSE,0.25,0.25,0,0,2010,2012,NA,0.125,NA,NA,0.25,NA,NA,NA,NA
58,5802,5803,5802,5803,2,TRUE,0.5,0.5,0,0,2014,2010,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
58,5802,5900,5802,59,5,FALSE,0.25,0.25,0,0,2014,2014,NA,0.25,NA,NA,NA,NA,NA,NA,NA
58,5802,6000,5802,60,5,FALSE,0.25,0.25,0,0,2014,2012,NA,0.125,NA,NA,0.25,NA,NA,NA,NA
58,5803,5900,5803,59,5,FALSE,0.25,0.25,0,0,2010,2014,NA,0.25,NA,NA,NA,NA,NA,NA,NA
58,5803,6000,5803,60,5,FALSE,0.25,0.25,0,0,2010,2012,NA,0.125,NA,NA,0.25,NA,NA,NA,NA
58,5900,6000,59,60,1,TRUE,0.5,0.5,0,0,2014,2012,NA,0.5,NA,NA,0.5,NA,NA,NA,NA
61,6100,6101,61,6101,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
61,6100,6102,61,6102,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
61,6100,6103,61,6103,4,TRUE,0.5,0.5,0,0,2014,2012,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
61,6100,6200,61,62,1,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,NA,NA
61,6100,6201,61,6201,5,FALSE,0.25,0.25,0,0,2014,2014,0.25,0.25,NA,NA,0.25,NA,NA,NA,NA
61,6100,6202,61,6202,5,FALSE,0.25,0.25,0,0,2014,2014,0.25,0.25,NA,NA,0.25,NA,NA,NA,NA
61,6100,6203,61,6203,5,FALSE,0.25,0.25,0,0,2014,2012,0.25,0.25,NA,NA,0.25,NA,NA,NA,NA
61,6101,6102,6101,6102,2,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
61,6101,6103,6101,6103,2,TRUE,0.5,0.5,0,0,2014,2012,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
61,6101,6200,6101,62,5,FALSE,0.25,0.25,0,0,2014,2014,0.25,0.25,NA,NA,0.25,NA,NA,NA,NA
61,6101,6201,6101,6201,3,FALSE,0.125,0.125,0,0,2014,2014,0.125,0.125,NA,NA,0.125,NA,NA,NA,NA
61,6101,6202,6101,6202,3,FALSE,0.125,0.125,0,0,2014,2014,0.125,0.125,NA,NA,0.125,NA,NA,NA,NA
61,6101,6203,6101,6203,3,FALSE,0.125,0.125,0,0,2014,2012,0.125,0.125,NA,NA,0.125,NA,NA,NA,NA
61,6102,6103,6102,6103,2,TRUE,0.5,0.5,0,0,2014,2012,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
61,6102,6200,6102,62,5,FALSE,0.25,0.25,0,0,2014,2014,0.25,0.25,NA,NA,0.25,NA,NA,NA,NA
61,6102,6201,6102,6201,3,FALSE,0.125,0.125,0,0,2014,2014,0.125,0.125,NA,NA,0.125,NA,NA,NA,NA
61,6102,6202,6102,6202,3,FALSE,0.125,0.125,0,0,2014,2014,0.125,0.125,NA,NA,0.125,NA,NA,NA,NA
61,6102,6203,6102,6203,3,FALSE,0.125,0.125,0,0,2014,2012,0.125,0.125,NA,NA,0.125,NA,NA,NA,NA
61,6103,6200,6103,62,5,FALSE,0.25,0.25,0,0,2012,2014,0.25,0.25,NA,NA,0.25,NA,NA,NA,NA
61,6103,6201,6103,6201,3,FALSE,0.125,0.125,0,0,2012,2014,0.125,0.125,NA,NA,0.125,NA,NA,NA,NA
61,6103,6202,6103,6202,3,FALSE,0.125,0.125,0,0,2012,2014,0.125,0.125,NA,NA,0.125,NA,NA,NA,NA
61,6103,6203,6103,6203,3,FALSE,0.125,0.125,0,0,2012,2012,0.125,0.125,NA,NA,0.125,NA,NA,NA,NA
61,6200,6201,62,6201,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
61,6200,6202,62,6202,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
61,6200,6203,62,6203,4,TRUE,0.5,0.5,0,0,2014,2012,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
61,6201,6202,6201,6202,2,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
61,6201,6203,6201,6203,2,TRUE,0.5,0.5,0,0,2014,2012,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
